Company Code
AAPL
MSFT
NVDA
GOOG
AMZN
2222.SR
META
BRK-B
TSM
LLY
AVGO
TSLA
JPM
NVO
WMT
XOM
UNH
V
TCEHY
MA
PG
005930.KS
JNJ
ORCL
ASML
COST
MC.PA
HD
ABBV
BAC
MRK
KO
CVX
NFLX
1398.HK
ROG.SW
TM
NESN.SW
CRM
SAP
IHC.AE
600519.SS
RELIANCE.NS
AZN
ADBE
PEP
RMS.PA
TMO
OR.PA
AMD
SHEL
NVS
601857.SS
601288.SS
LIN
TMUS
ACN
WFC
0941.HK
QCOM
DHR
FMX
CSCO
TCS.NS
TXN
GE
ABT
BABA
PDD
MCD
AMGN
INTU
PM
IBM
601939.SS
AXP
PFE
CAT
AMAT
601988.SS
NOW
VZ
MS
DIS
GS
HSBC
ISRG
RY
TTE
ARM
HDB
CMCSA
SPGI
NEE
IDEXY
RTX
UL
PRX.AS
UNP
CBA.AX
